table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
access_codes,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
access_codes,2,code,text,text,NO,null,null,null,null
access_codes,3,certification_id,uuid,uuid,YES,null,null,null,null
access_codes,4,expires_at,timestamp with time zone,timestamptz,YES,null,null,null,null
access_codes,5,max_uses,integer,int4,YES,null,null,32,0
access_codes,6,current_uses,integer,int4,YES,0,null,32,0
access_codes,7,is_active,boolean,bool,YES,TRUE,null,null,null
access_codes,8,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
access_codes,9,label,text,text,YES,null,null,null,null
access_codes,10,source,text,text,YES,null,null,null,null
ad_banners,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
ad_banners,2,title,text,text,YES,null,null,null,null
ad_banners,3,image_url,text,text,YES,null,null,null,null
ad_banners,4,link_url,text,text,YES,null,null,null,null
ad_banners,5,position,text,text,YES,null,null,null,null
ad_banners,6,is_active,boolean,bool,YES,TRUE,null,null,null
ad_banners,7,click_count,integer,int4,YES,0,null,32,0
ad_banners,8,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
categories,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
categories,2,name,text,text,NO,null,null,null,null
categories,3,icon,text,text,YES,null,null,null,null
categories,4,display_order,integer,int4,YES,0,null,32,0
categories,5,is_active,boolean,bool,YES,TRUE,null,null,null
categories,6,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
certification_subjects,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
certification_subjects,2,certification_id,uuid,uuid,YES,null,null,null,null
certification_subjects,3,subject_id,uuid,uuid,YES,null,null,null,null
certification_subjects,4,is_required,boolean,bool,YES,TRUE,null,null,null
certification_subjects,5,display_order,integer,int4,YES,0,null,32,0
certifications,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
certifications,2,category_id,uuid,uuid,YES,null,null,null,null
certifications,3,name,text,text,NO,null,null,null,null
certifications,4,type,text,text,YES,'national'::text,null,null,null
certifications,5,level,text,text,YES,null,null,null,null
certifications,6,exam_date,date,date,YES,null,null,null,null
certifications,7,is_active,boolean,bool,YES,TRUE,null,null,null
certifications,8,description,text,text,YES,null,null,null,null
certifications,9,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
certifications,10,exam_type,text,text,YES,'written'::text,null,null,null
certifications,11,phase,text,text,YES,'mvp'::text,null,null,null
certifications,12,order_index,integer,int4,YES,null,null,32,0
certifications,13,partner_id,uuid,uuid,YES,null,null,null,null
certifications,14,slug,text,text,YES,null,null,null,null
chapter_cards,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
chapter_cards,2,chapter_id,uuid,uuid,NO,null,null,null,null
chapter_cards,3,question,text,text,NO,null,null,null,null
chapter_cards,4,options,jsonb,jsonb,NO,null,null,null,null
chapter_cards,6,explanation,text,text,YES,null,null,null,null
chapter_cards,7,order_index,integer,int4,YES,0,null,32,0
chapter_cards,8,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
chapter_cards,9,image_url,text,text,YES,null,null,null,null
chapter_cards,10,image_caption,text,text,YES,null,null,null,null
chapter_cards,11,image_source,text,text,YES,null,null,null,null
chapter_cards,12,reference_text,text,text,YES,null,null,null,null
chapter_cards,14,exam_years,jsonb,jsonb,YES,'[]'::jsonb,null,null,null
chapter_cards,15,star_rating,smallint,int2,YES,0,null,16,0
chapter_cards,16,key_points,jsonb,jsonb,YES,'[]'::jsonb,null,null,null
chapter_cards,17,content_type,text,text,YES,null,null,null,null
chapter_cards,18,question_format,text,text,YES,null,null,null,null
chapter_cards,19,difficulty,integer,int4,YES,2,null,32,0
chapter_cards,20,answer_index,jsonb,jsonb,YES,null,null,null,null
chapter_cards,21,linked_quiz_id,uuid,uuid,YES,null,null,null,null
chapter_session_logs,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
chapter_session_logs,2,user_id,uuid,uuid,NO,null,null,null,null
chapter_session_logs,3,chapter_id,uuid,uuid,NO,null,null,null,null
chapter_session_logs,4,session_id,uuid,uuid,YES,gen_random_uuid(),null,null,null
chapter_session_logs,5,session_start,timestamp with time zone,timestamptz,YES,now(),null,null,null
chapter_session_logs,6,session_end,timestamp with time zone,timestamptz,YES,null,null,null,null
chapter_session_logs,7,last_slide,integer,int4,YES,null,null,32,0
chapter_session_logs,8,exit_point,text,text,YES,null,null,null,null
chapter_session_logs,9,is_completed,boolean,bool,YES,FALSE,null,null,null
chapter_session_logs,10,page_type,text,text,YES,'test'::text,null,null,null
chapter_session_logs,11,slide_total,integer,int4,YES,null,null,32,0
chapter_session_logs,12,completion_rate,double precision,float8,YES,null,null,53,null
chapter_session_logs,13,day_of_week,smallint,int2,YES,null,null,16,0
chapter_session_logs,14,hour_of_day,smallint,int2,YES,null,null,16,0
chapter_session_logs,15,last_sub_slide,smallint,int2,YES,null,null,16,0
chapter_stats,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
chapter_stats,2,user_id,text,text,YES,null,null,null,null
chapter_stats,3,chapter_id,text,text,YES,null,null,null,null
chapter_stats,4,subject_id,text,text,YES,null,null,null,null
chapter_stats,5,total_attempts,integer,int4,YES,0,null,32,0
chapter_stats,6,total_correct,integer,int4,YES,0,null,32,0
chapter_stats,7,avg_score,double precision,float8,YES,0,null,53,null
chapter_stats,8,wrong_rate,double precision,float8,YES,0,null,53,null
chapter_stats,9,last_attempt_at,timestamp with time zone,timestamptz,YES,null,null,null,null
chapter_stats,10,updated_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
chapter_stats,11,lesson_completed,boolean,bool,YES,FALSE,null,null,null
chapter_stats,12,mini_quiz_correct,integer,int4,YES,0,null,32,0
chapter_stats,13,mini_quiz_total,integer,int4,YES,0,null,32,0
chapter_stats,14,lesson_completed_at,timestamp with time zone,timestamptz,YES,null,null,null,null
chapter_stats,15,latest_score,integer,int4,YES,null,null,32,0
chapter_stats,16,best_score,integer,int4,YES,null,null,32,0
chapter_stats,17,test_attempts,integer,int4,YES,0,null,32,0
