table_name,constraint_type,constraint_name,column_name,ref_table,ref_column,check_clause
access_codes,CHECK,2200_18694_1_not_null,null,null,null,id IS NOT NULL
access_codes,CHECK,2200_18694_2_not_null,null,null,null,code IS NOT NULL
access_codes,FOREIGN KEY,access_codes_certification_id_fkey,certification_id,certifications,id,null
access_codes,PRIMARY KEY,access_codes_pkey,id,null,null,null
access_codes,UNIQUE,access_codes_code_key,code,null,null,null
ad_banners,CHECK,2200_17786_1_not_null,null,null,null,id IS NOT NULL
ad_banners,PRIMARY KEY,ad_banners_pkey,id,null,null,null
categories,CHECK,2200_18399_2_not_null,null,null,null,name IS NOT NULL
categories,CHECK,2200_18399_1_not_null,null,null,null,id IS NOT NULL
categories,PRIMARY KEY,categories_pkey,id,null,null,null
certification_subjects,CHECK,2200_18427_1_not_null,null,null,null,id IS NOT NULL
certification_subjects,FOREIGN KEY,certification_subjects_certification_id_fkey,certification_id,certifications,id,null
certification_subjects,FOREIGN KEY,certification_subjects_subject_id_fkey,subject_id,subjects,id,null
certification_subjects,PRIMARY KEY,certification_subjects_pkey,id,null,null,null
certifications,CHECK,2200_18410_1_not_null,null,null,null,id IS NOT NULL
certifications,CHECK,2200_18410_3_not_null,null,null,null,name IS NOT NULL
certifications,CHECK,certifications_type_check,null,null,null,"(type = ANY (ARRAY['national'::text, 'private'::text]))"
certifications,FOREIGN KEY,certifications_category_id_fkey,category_id,categories,id,null
certifications,FOREIGN KEY,certifications_partner_id_fkey,partner_id,partners,id,null
certifications,PRIMARY KEY,certifications_pkey,id,null,null,null
chapter_cards,CHECK,2200_17842_4_not_null,null,null,null,options IS NOT NULL
chapter_cards,CHECK,2200_17842_1_not_null,null,null,null,id IS NOT NULL
chapter_cards,CHECK,2200_17842_2_not_null,null,null,null,chapter_id IS NOT NULL
chapter_cards,CHECK,2200_17842_3_not_null,null,null,null,question IS NOT NULL
chapter_cards,FOREIGN KEY,chapter_cards_linked_quiz_id_fkey,linked_quiz_id,chapter_cards,id,null
chapter_cards,FOREIGN KEY,chapter_questions_chapter_id_fkey,chapter_id,chapters,id,null
chapter_cards,PRIMARY KEY,chapter_questions_pkey,id,null,null,null
chapter_session_logs,CHECK,2200_18831_2_not_null,null,null,null,user_id IS NOT NULL
