table_name,constraint_name,constraint_type,on_delete,definition
access_codes,access_codes_certification_id_fkey,f,a,FOREIGN KEY (certification_id) REFERENCES certifications(id)
access_codes,access_codes_code_key,u," ",UNIQUE (code)
access_codes,access_codes_pkey,p," ",PRIMARY KEY (id)
ad_banners,ad_banners_pkey,p," ",PRIMARY KEY (id)
categories,categories_pkey,p," ",PRIMARY KEY (id)
certification_subjects,certification_subjects_certification_id_fkey,f,c,FOREIGN KEY (certification_id) REFERENCES certifications(id) ON DELETE CASCADE
certification_subjects,certification_subjects_pkey,p," ",PRIMARY KEY (id)
certification_subjects,certification_subjects_subject_id_fkey,f,c,FOREIGN KEY (subject_id) REFERENCES subjects(id) ON DELETE CASCADE
certifications,certifications_category_id_fkey,f,a,FOREIGN KEY (category_id) REFERENCES categories(id)
certifications,certifications_partner_id_fkey,f,a,FOREIGN KEY (partner_id) REFERENCES partners(id)
certifications,certifications_pkey,p," ",PRIMARY KEY (id)
certifications,certifications_slug_unique,u," ",UNIQUE (slug)
certifications,certifications_type_check,c," ","CHECK ((type = ANY (ARRAY['national'::text, 'private'::text])))"
chapter_cards,chapter_cards_linked_quiz_id_fkey,f,a,FOREIGN KEY (linked_quiz_id) REFERENCES chapter_cards(id)
chapter_cards,chapter_questions_chapter_id_fkey,f,c,FOREIGN KEY (chapter_id) REFERENCES chapters(id) ON DELETE CASCADE
chapter_cards,chapter_questions_pkey,p," ",PRIMARY KEY (id)
chapter_session_logs,chapter_session_logs_exit_point_check,c," ","CHECK ((exit_point = ANY (ARRAY['lesson_complete'::text, 'user_exit'::text, 'unload'::text, 'test_submit'::text, 'mini_quiz'::text, 'slide'::text])))"
chapter_session_logs,chapter_session_logs_pkey,p," ",PRIMARY KEY (id)
chapter_stats,chapter_stats_certification_id_fkey,f,a,FOREIGN KEY (certification_id) REFERENCES certifications(id)
chapter_stats,chapter_stats_pkey,p," ",PRIMARY KEY (id)
chapter_test_history,chapter_test_history_chapter_id_fkey,f,c,FOREIGN KEY (chapter_id) REFERENCES chapters(id) ON DELETE CASCADE
chapter_test_history,chapter_test_history_pkey,p," ",PRIMARY KEY (id)
chapter_test_history,chapter_test_history_user_id_fkey,f,c,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
chapter_test_results,chapter_test_results_chapter_id_fkey,f,c,FOREIGN KEY (chapter_id) REFERENCES chapters(id) ON DELETE CASCADE
chapter_test_results,chapter_test_results_pkey,p," ",PRIMARY KEY (id)
chapter_test_results,chapter_test_results_user_id_fkey,f,c,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
chapters,chapters_course_id_fkey,f,c,FOREIGN KEY (course_id) REFERENCES courses(id) ON DELETE CASCADE
chapters,chapters_pkey,p," ",PRIMARY KEY (id)
content_purchases,content_purchases_pkey,p," ",PRIMARY KEY (id)
content_purchases,content_purchases_subject_id_fkey,f,a,FOREIGN KEY (subject_id) REFERENCES subjects(id)
content_purchases,content_purchases_user_id_fkey,f,c,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
course_certifications,course_certifications_certification_id_fkey,f,c,FOREIGN KEY (certification_id) REFERENCES certifications(id) ON DELETE CASCADE
course_certifications,course_certifications_course_id_certification_id_key,u," ","UNIQUE (course_id, certification_id)"
course_certifications,course_certifications_course_id_fkey,f,c,FOREIGN KEY (course_id) REFERENCES courses(id) ON DELETE CASCADE
course_certifications,course_certifications_pkey,p," ",PRIMARY KEY (id)
course_relations,course_relations_check,c," ",CHECK ((from_course_id <> to_course_id))
course_relations,course_relations_from_course_id_fkey,f,a,FOREIGN KEY (from_course_id) REFERENCES courses(id)
course_relations,course_relations_from_course_id_to_course_id_relation_type_key,u," ","UNIQUE (from_course_id, to_course_id, relation_type)"
course_relations,course_relations_pkey,p," ",PRIMARY KEY (id)
course_relations,course_relations_to_course_id_fkey,f,a,FOREIGN KEY (to_course_id) REFERENCES courses(id)
courses,courses_certification_id_fkey,f,a,FOREIGN KEY (certification_id) REFERENCES certifications(id)
courses,courses_pkey,p," ",PRIMARY KEY (id)
courses,courses_slug_key,u," ",UNIQUE (slug)
courses,courses_sport_id_fkey,f,a,FOREIGN KEY (sport_id) REFERENCES sports(id)
courses,courses_subject_id_fkey,f,a,FOREIGN KEY (subject_id) REFERENCES subjects(id)
exam_registrations,exam_registrations_pkey,p," ",PRIMARY KEY (id)
exam_registrations,exam_registrations_user_id_fkey,f,n,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL
exam_results,exam_results_pkey,p," ",PRIMARY KEY (id)
exam_results,exam_results_schedule_id_fkey,f,n,FOREIGN KEY (schedule_id) REFERENCES exam_schedules(id) ON DELETE SET NULL
exam_results,exam_results_user_id_fkey,f,c,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
exam_schedules,exam_schedules_certification_id_fkey,f,a,FOREIGN KEY (certification_id) REFERENCES certifications(id)
exam_schedules,exam_schedules_pkey,p," ",PRIMARY KEY (id)
guest_test_results,guest_test_results_pkey,p," ",PRIMARY KEY (id)
landing_test_sessions,landing_test_sessions_pkey,p," ",PRIMARY KEY (id)
leaderboard,leaderboard_pkey,p," ",PRIMARY KEY (id)
leaderboard,leaderboard_user_id_fkey,f,c,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
leaderboard,leaderboard_user_id_key,u," ",UNIQUE (user_id)
learning_progress,learning_progress_pkey,p," ",PRIMARY KEY (id)
learning_progress,learning_progress_user_id_chapter_section_key,u," ","UNIQUE (user_id, chapter, section)"
learning_progress,learning_progress_user_id_fkey,f,c,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
learning_progress_v2,learning_progress_v2_certification_id_fkey,f,a,FOREIGN KEY (certification_id) REFERENCES certifications(id)
learning_progress_v2,learning_progress_v2_chapter_id_fkey,f,c,FOREIGN KEY (chapter_id) REFERENCES chapters(id) ON DELETE CASCADE
learning_progress_v2,learning_progress_v2_course_id_fkey,f,a,FOREIGN KEY (course_id) REFERENCES courses(id)
learning_progress_v2,learning_progress_v2_pkey,p," ",PRIMARY KEY (id)
learning_progress_v2,learning_progress_v2_user_id_chapter_id_key,u," ","UNIQUE (user_id, chapter_id)"
lesson_questions,lesson_questions_lesson_id_fkey,f,c,FOREIGN KEY (lesson_id) REFERENCES lessons(id) ON DELETE CASCADE
lesson_questions,lesson_questions_pkey,p," ",PRIMARY KEY (id)
lesson_slide_logs,lesson_slide_logs_pkey,p," ",PRIMARY KEY (id)
lessons,lessons_course_id_fkey,f,c,FOREIGN KEY (course_id) REFERENCES courses(id) ON DELETE CASCADE
lessons,lessons_pkey,p," ",PRIMARY KEY (id)
