# 채취일시: 2026-07-31T14:32:01.836Z / 대상 ref: sbketzgadjvzedbayesc (prod)
# pg_policies / pg_class.relrowsecurity 조회에는 SQL 접근이 필요하나 이 환경에는 DB 비밀번호·CLI 액세스 토큰이 없어 확인 불가
# rls_enabled 는 SELECT 행동 프로브 결과(anon 키 vs service_role 키의 count=exact 비교)이며 카탈로그 값이 아님
# policy_name / policy_cmd / policy_roles 는 확인 불가 → 전부 UNKNOWN
# 프로브는 SELECT 만 수행. INSERT/UPDATE/DELETE 정책은 검사하지 않음
table_name,rls_enabled,policy_name,policy_cmd,policy_roles
access_codes,ENFORCED(anon 0행),UNKNOWN,UNKNOWN,UNKNOWN
ad_banners,anon 전체 조회 가능(RLS 미적용 또는 전체 허용 정책),UNKNOWN,UNKNOWN,UNKNOWN
categories,ENFORCED(anon 0행),UNKNOWN,UNKNOWN,UNKNOWN
certification_subjects,ENFORCED(anon 0행),UNKNOWN,UNKNOWN,UNKNOWN
certifications,PARTIAL(anon 5/12행),UNKNOWN,UNKNOWN,UNKNOWN
chapter_cards,anon 전체 조회 가능(RLS 미적용 또는 전체 허용 정책),UNKNOWN,UNKNOWN,UNKNOWN
chapter_session_logs,ENFORCED(anon 0행),UNKNOWN,UNKNOWN,UNKNOWN
chapter_stats,anon 전체 조회 가능(RLS 미적용 또는 전체 허용 정책),UNKNOWN,UNKNOWN,UNKNOWN
chapter_test_history,UNKNOWN(service_role 0행 — 구별 불가),UNKNOWN,UNKNOWN,UNKNOWN
chapter_test_results,UNKNOWN(service_role 0행 — 구별 불가),UNKNOWN,UNKNOWN,UNKNOWN
chapters,anon 전체 조회 가능(RLS 미적용 또는 전체 허용 정책),UNKNOWN,UNKNOWN,UNKNOWN
content_purchases,UNKNOWN(service_role 0행 — 구별 불가),UNKNOWN,UNKNOWN,UNKNOWN
course_certifications,anon 전체 조회 가능(RLS 미적용 또는 전체 허용 정책),UNKNOWN,UNKNOWN,UNKNOWN
course_relations,UNKNOWN(service_role 0행 — 구별 불가),UNKNOWN,UNKNOWN,UNKNOWN
courses,anon 전체 조회 가능(RLS 미적용 또는 전체 허용 정책),UNKNOWN,UNKNOWN,UNKNOWN
