# 채취일시: 2026-07-31T14:32:01.836Z / 대상 ref: sbketzgadjvzedbayesc (prod)
# 출처: PostgREST HEAD + Prefer:count=exact (service_role, RLS 우회)
table_name,row_count
access_codes,19
ad_banners,2
categories,1
certification_subjects,32
certifications,12
chapter_cards,2043
chapter_session_logs,1141
chapter_stats,1127
chapter_test_history,0
chapter_test_results,0
chapters,507
content_purchases,0
course_certifications,33
course_relations,0
courses,28
exam_registrations,0
exam_results,8
exam_schedules,3
guest_test_results,54
landing_test_sessions,0
leaderboard,0
learning_progress,0
learning_progress_v2,0
lesson_questions,0
lesson_slide_logs,192
lessons,0
mock_exam_bookings,0
oral_exam_registrations,39
partners,1
profiles,413
question_stats,3788
quiz_performance_logs,16
sports,1
subjects,41
subscription_features,3
subscription_plans,3
test_results,0
user_access_codes,172
user_badges,0
user_certifications,406
user_consents,2
user_events,0
user_gamification,0
user_goals,0
user_reviews,38
user_subscriptions,0
user_wrong_answers,0
video_bookmarks,0
wrong_answers,452
